---config@码表分类=主码-用户码表
---config@码表别名=用户
安装包	avbc
编辑器	bjqi
播放列表	bflb
毕设	biue
备考	bkl
标度	bnd
玻璃块	blkk
包管理器	bglq
博主	bovu
编者注	bvvu
饱和度	bhdu
布洛芬	blff
步入	brp
步入正题	brvt
电商平台	dupt
滴水石锥	duuv
滴水	diuv
导师	dcui
大厅	dti
单体	dtr
典中典	dvdm
定理	dlw
待办	dbl
道中	dcvs
多亲	doqb
宕机	djm
复杂度	fzdu
放置	fvs
方括号	fkhc
福音	fyl
法向量	fxll
复述	fuuu
复现	fxw
服务端	fwdr
发行版	fxbj
分区表	fqb
规训	gvxy
港区	ghqu
高分子	gfz
姑父	guf
告示牌	gup
工作量	gzl
鬼故事	ggu
关不掉	gbdn
管理器	glqi
共聚	gje
梗图	ggtu
更纱黑体	guht
公钥	gsyc
干什么	gume
官方启动器	gfqq
回收站	huvj
华侨大学	hqdx
合集	heji
环境变量	hjbl
好好看	hhkj
画师	hxu
会在	hvzd
还原点	hydm
混关	hygr
痴汉	iihj
传送门	ismf
纯文本	iwbf
初始	iun
衬线	ifxm
超时	iuo
叫做	jzr
坚果	jgl
结构化	jghx
聚合物	jhwu
机翻	jfp
结婚生子	jhuz
基线	jxs
京东	jda
卡包	kabc
酷安	kuan
开题报告	ktbg
考研	kcy
刻板印象	kby
空间复杂度	kjfd
跨性别	kxbp
矿车	klie
开箱即用	kxjy
扩宽	kokr
开发者	kfve
柯林斯	klsi
连点	lmdm
烈焰人	lyrf
劳务费	lwfw
模拟器	mnqi
命令行	mlhh
密钥	myj
喵糖饼干	mtbg
密钥对	mydv
没什么用	mumy
女性主义	nxvy
男娘	njnl
难绷	njbg
女书	nvuu
欧路词典	olcd
平方公里	pfgl
评论区	plqu
批处理	pil
平均值	pjvi
皮肤站	pfvj
鞘翅	qnii
启动器	qdq
旗帜	qvj
曲包	qubc
器件	qjr
群系	qyxi
群论	qyly
求导	qqdc
全平台	qptd
软考	rrkc
人传人	rirf
人称代词	ridc
随心码	sxma
所示	sue
私钥	syj
赛博	sdbo
推出	tviu
通选课	txke
通识	tsui
体测	tice
调试器	tuq
托福	tfp
她们	tmn
弹球	tjq
提示符	tuf
推移	tyh
省流	uglq
审视	ufui
室内乐	unyt
神经质	ujvi
说实话	uuhx
实验室	uyui
石锥	uivv
生殖	ugvi
生殖器	uvqi
史莱姆	ulm
时间复杂度	ujfd
手机号	ujhc
刷怪	uxgk
上标	uhb
术语	uuy
时间段	ujdr
深暗之域	uavy
生物群系	uwqx
事由	uyl
舒适圈	uuqr
上架	uhj
实用	uiys
手柄	ubm
薯饼	uubk
山羊	uyb
似的	udb
猪灵	vulk
争做	vgzo
指的是	vdu
中心线	vxxm
直通码	vtma
正题	vto
纸质版	vvbj
主板	vbm
微动	wwds
维基百科	wjbk
微博	wbu
纹理包	wlbc
雾凇拼音	wspy
维基	wjq
我超	woic
心理学	xlxt
选课	xrke
性学	xkxt
性征	xvi
下界	xjt
下界大厅	xjdt
下载器	xzqi
详见	xjk
行末	xkmo
小群	xnqy
向量	xlo
香氛	xfq
下界石英	xjuy
下载站	xzvj
相对论	xdly
写盘	xppj
有时	yzui
音源	ybyr
英伟达	ywda
用不到	ybdc
一半	yibj
移动端	yddr
以防	yfe
雨课堂	ykt
一组	yzs
以图搜图	ytst
映像	ykx
友情链接	yqlj
雅思	yas
远古	yrg
远古残骸	ygch
有关于	ygy
遥测	ycce
意愿	yiyr
亚克力	ykl
原教旨主义	yjvy
早八	zcba
子系统	zxts
字重	zvp
增值服务	zvfw
最新版	zxbj
作弊码	zbma
自机狙	zjj
子卷	zijr
